iter	Passed	Remaining
0	59	59858
1	60	30065
2	60	20124
3	60	15147
4	61	12173
5	61	10222
6	61	8794
7	62	7724
8	62	6889
9	62	6221
10	63	5678
11	63	5224
12	63	4837
13	63	4506
14	64	4219
15	64	3969
16	64	3748
17	65	3550
18	65	3373
19	65	3214
20	65	3069
21	66	2937
22	66	2816
23	66	2706
24	66	2606
25	67	2514
26	67	2427
27	67	2347
28	67	2272
29	68	2202
30	68	2137
31	68	2077
32	68	2020
33	69	1967
34	69	1918
35	69	1870
36	70	1824
37	70	1781
38	70	1739
39	70	1700
40	71	1662
41	71	1626
42	71	1592
43	71	1562
44	72	1531
45	72	1501
46	72	1473
47	72	1446
48	73	1420
49	73	1395
50	73	1371
51	73	1348
52	74	1326
53	74	1305
54	74	1284
55	75	1264
56	75	1245
57	75	1226
58	75	1208
59	75	1190
60	76	1173
61	76	1156
62	76	1140
63	76	1125
64	77	1110
65	77	1096
66	77	1081
67	77	1067
68	78	1054
69	78	1041
70	78	1029
71	78	1017
72	79	1005
73	79	993
74	79	982
75	79	972
76	80	962
77	80	952
78	80	941
79	81	931
80	81	922
81	81	912
82	81	901
83	81	892
84	82	883
85	82	875
86	82	866
87	82	858
88	83	850
89	83	842
90	83	834
91	83	826
92	83	818
93	84	811
94	84	803
95	84	796
96	84	790
97	85	783
98	85	776
99	85	769
100	85	763
101	85	757
102	86	750
103	86	744
104	86	738
105	86	733
106	87	727
107	87	721
108	87	716
109	87	711
110	88	705
111	88	700
112	88	695
113	88	690
114	89	685
115	89	680
116	89	675
117	89	670
118	89	665
119	90	661
120	90	656
121	90	651
122	90	647
123	90	642
124	91	638
125	91	634
126	91	629
127	91	625
128	92	621
129	92	617
130	92	613
131	92	610
132	93	606
133	93	602
134	93	598
135	93	595
136	93	591
137	94	588
138	94	584
139	94	581
140	94	578
141	95	574
142	95	570
143	95	567
144	95	564
145	95	561
146	96	557
147	96	554
148	96	551
149	96	548
150	97	545
151	97	542
152	97	539
153	97	536
154	97	534
155	98	531
156	98	528
157	98	526
158	98	523
159	99	520
160	99	517
161	99	514
162	99	512
163	100	509
164	100	507
165	100	505
166	100	502
167	101	500
168	101	497
169	101	495
170	101	493
171	101	490
172	102	488
173	102	486
174	102	484
175	102	482
176	103	479
177	103	477
178	103	475
179	103	473
180	104	471
181	104	469
182	104	467
183	104	465
184	105	463
185	105	461
186	105	459
187	105	457
188	106	455
189	106	453
190	106	451
191	106	449
192	107	447
193	107	445
194	107	443
195	107	442
196	107	440
197	108	438
198	108	436
199	108	435
200	109	433
201	109	431
202	109	430
203	109	428
204	110	426
205	110	425
206	110	423
207	110	421
208	111	420
209	111	418
210	111	416
211	111	415
212	111	413
213	112	412
214	112	410
215	112	408
216	112	407
217	113	405
218	113	404
219	113	402
220	113	401
221	114	399
222	114	398
223	114	397
224	114	395
225	115	394
226	115	393
227	115	391
228	115	390
229	116	388
230	116	387
231	116	386
232	116	384
233	117	383
234	117	381
235	117	380
236	117	379
237	118	377
238	118	376
239	118	375
240	118	373
241	118	372
242	119	371
243	119	369
244	119	368
245	119	367
246	120	366
247	120	365
248	120	363
249	120	362
250	121	361
251	121	360
252	121	358
253	121	357
254	121	356
255	122	355
256	122	354
257	122	353
258	123	352
259	123	351
260	123	349
261	123	348
262	124	347
263	124	346
264	124	345
265	124	344
266	124	343
267	125	342
268	125	340
269	125	339
270	125	338
271	126	337
272	126	336
273	126	335
274	126	334
275	127	333
276	127	332
277	127	331
278	127	330
279	128	329
280	128	328
281	128	327
282	128	326
283	128	325
284	129	324
285	129	322
286	129	321
287	129	320
288	129	319
289	130	318
290	130	317
291	130	316
292	130	315
293	131	314
294	131	314
295	131	313
296	131	312
297	132	311
298	132	310
299	132	309
300	132	308
301	132	307
302	133	306
303	133	305
304	133	304
305	133	303
306	134	302
307	134	301
308	134	300
309	134	299
310	134	298
311	135	298
312	135	297
313	135	296
314	136	295
315	136	294
316	136	294
317	136	293
318	136	292
319	137	291
320	137	290
321	137	289
322	137	288
323	138	288
324	138	287
325	138	286
326	138	285
327	138	284
328	139	283
329	139	283
330	139	282
331	140	281
332	140	280
333	140	280
334	140	279
335	140	278
336	141	277
337	141	276
338	141	276
339	141	275
340	142	274
341	142	273
342	142	273
343	142	272
344	143	271
345	143	270
346	143	270
347	143	269
348	143	268
349	144	267
350	144	266
351	144	266
352	144	265
353	145	265
354	145	264
355	145	263
356	145	262
357	146	262
358	146	261
359	146	260
360	146	259
361	147	259
362	147	258
363	147	257
364	147	257
365	148	256
366	148	255
367	148	255
368	148	254
369	149	253
370	149	253
371	149	252
372	149	251
373	150	251
374	150	250
375	150	249
376	150	249
377	150	248
378	151	247
379	151	247
380	151	246
381	151	245
382	152	245
383	152	244
384	152	243
385	152	243
386	153	242
387	153	241
388	153	241
389	153	240
